식품명,식품대분류명,kcal,protein_g,fat_g,carb_g,sodium_mg,water_g,ash_g,sugar_g,dietary_fiber_g,calcium_mg,iron_mg,phosphorus_mg,potassium_mg,cholesterol_mg,saturated_fat_g,trans_fat_g,alpha_linolenic_acid_g,linoleic_acid_g,omega3_g,omega6_g,oleic_acid_mg
피자_뉴그릴드치킨 피자 백미스크린치즈크러스트 (L),빵 및 과자류,213.0,12.5,0.0,0.0,558.0,0.0,0.0,5.83,0.0,0.0,0.0,0.0,0.0,0.0,1.83,0.0,0.0,0.0,0.0,0.0,0.0
피자_뉴그릴드치킨 피자 백미스크린치즈크러스트 (R),빵 및 과자류,206.99999999999997,13.19,0.0,0.0,564.0,0.0,0.0,5.49,0.0,0.0,0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.0,0.0,0.0,0.0
피자_뉴그릴드치킨 피자 씬 (L),빵 및 과자류,238.0,10.64,0.0,0.0,278.0,0.0,0.0,4.26,0.0,0.0,0.0,0.0,0.0,0.0,3.19,0.0,0.0,0.0,0.0,0.0,0.0
피자_뉴그릴드치킨 피자 씬 (R),빵 및 과자류,239.0,9.72,0.0,0.0,268.0,0.0,0.0,4.17,0.0,0.0,0.0,0.0,0.0,0.0,3.06,0.0,0.0,0.0,0.0,0.0,0.0
피자_뉴그릴드치킨 피자 체다크림크러스트 (L),빵 및 과자류,223.0,12.5,0.0,0.0,541.0,0.0,0.0,5.47,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.0,0.0,0.0,0.0,0.0,0.0
피자_뉴그릴드치킨 피자 체다크림크러스트 (R),빵 및 과자류,223.0,12.75,0.0,0.0,541.0,0.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.0,0.0,0.0,0.0,0.0,0.0
피자_뉴그릴드치킨 피자 치즈크러스트 (L),빵 및 과자류,218.00000000000003,13.390000000000002,0.0,0.0,505.99999999999994,0.0,0.0,3.15,0.0,0.0,0.0,0.0,0.0,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0
피자_뉴그릴드치킨 피자 치즈크러스트 (R),빵 및 과자류,217.0,13.59,0.0,0.0,507.0,0.0,0.0,3.88,0.0,0.0,0.0,0.0,0.0,0.0,1.94,0.0,0.0,0.0,0.0,0.0,0.0
피자_뉴그릴드치킨 피자 팬 (L),빵 및 과자류,222.00000000000003,12.93,0.0,0.0,503.0,0.0,0.0,3.45,0.0,0.0,0.0,0.0,0.0,0.0,1.9799999999999998,0.0,0.0,0.0,0.0,0.0,0.0
피자_뉴그릴드치킨 피자 팬 (R),빵 및 과자류,224.00000000000003,13.04,0.0,0.0,505.0,0.0,0.0,3.26,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.0,0.0,0.0,0.0,0.0,0.0
피자_뉴그릴드치킨 피자 흑미스크린 (L),빵 및 과자류,214.0,13.889999999999999,0.0,0.0,514.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,1.8500000000000003,0.0,0.0,0.0,0.0,0.0,0.0
피자_뉴그릴드치킨 피자 흑미스크린 (R),빵 및 과자류,208.0,12.5,0.0,0.0,524.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
피자_뉴그릴드치킨 피자 흑미스크린치즈크러스트 (L),빵 및 과자류,208.0,13.33,0.0,0.0,513.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,0.0,0.0,0.0,0.0,0.0,0.0
피자_뉴그릴드치킨 피자 흑미스크린치즈크러스트 (R),빵 및 과자류,202.0,13.19,0.0,0.0,523.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,1.9799999999999998,0.0,0.0,0.0,0.0,0.0,0.0
피자_뉴욕 오리진 피자 나폴리 (L),빵 및 과자류,249.00000000000003,11.6,12.740000000000002,21.97,529.0,0.0,0.0,3.2799999999999994,0.0,0.0,0.0,0.0,0.0,28.02,6.16,0.32,0.0,0.0,0.0,0.0,0.0
