epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,6995.58,1.12222,1.19012,1.55392,0.78634,0.72478,0.80499,0.56102,1.14027,1.01414,1.57498,0.00637,0.00637,0.00637
57,7119.38,1.11834,1.1751,1.55273,0.80359,0.72585,0.80275,0.55945,1.14375,1.0012,1.5726,0.006304,0.006304,0.006304
58,7242.96,1.11479,1.16599,1.5524,0.78056,0.74212,0.80177,0.56102,1.14162,0.99651,1.56985,0.006238,0.006238,0.006238
59,7366.42,1.1053,1.15132,1.5434,0.80421,0.72773,0.80391,0.56482,1.1354,0.98886,1.57284,0.006172,0.006172,0.006172
60,7490.11,1.10086,1.1355,1.53349,0.80743,0.72889,0.81135,0.56925,1.13603,0.97515,1.57733,0.006106,0.006106,0.006106
61,7613.75,1.09495,1.13672,1.52973,0.79166,0.74542,0.81304,0.57108,1.13057,0.96587,1.57036,0.00604,0.00604,0.00604
62,7736.79,1.0945,1.12876,1.52966,0.7992,0.74511,0.81251,0.56965,1.12867,0.97672,1.56183,0.005974,0.005974,0.005974
63,7859.85,1.09648,1.1245,1.5275,0.77633,0.74704,0.81255,0.56779,1.13405,0.97306,1.56528,0.005908,0.005908,0.005908
64,7982.9,1.08916,1.10306,1.52007,0.81706,0.71661,0.81568,0.57238,1.13259,0.96066,1.56398,0.005842,0.005842,0.005842
65,8106.57,1.08689,1.09297,1.519,0.81074,0.73398,0.8213,0.57525,1.1329,0.94909,1.56404,0.005776,0.005776,0.005776
66,8229.7,1.08692,1.09468,1.51409,0.80101,0.73011,0.8198,0.57453,1.12577,0.93886,1.55626,0.00571,0.00571,0.00571
67,8352.76,1.07669,1.0853,1.50793,0.8009,0.73237,0.82112,0.57601,1.12645,0.93594,1.55594,0.005644,0.005644,0.005644
68,8475.52,1.07798,1.07566,1.50628,0.78614,0.74405,0.81964,0.57559,1.12193,0.94315,1.55302,0.005578,0.005578,0.005578
69,8598.27,1.07899,1.06599,1.50888,0.77135,0.75754,0.82461,0.5784,1.12532,0.93861,1.55379,0.005512,0.005512,0.005512
70,8721.93,1.06853,1.06495,1.50176,0.7486,0.78076,0.82669,0.57698,1.12226,0.92664,1.55298,0.005446,0.005446,0.005446
71,8845.61,1.0619,1.05128,1.49408,0.77769,0.76899,0.82866,0.58002,1.1186,0.92357,1.55173,0.00538,0.00538,0.00538
72,8969.5,1.06879,1.0429,1.49384,0.78987,0.76005,0.8309,0.58331,1.11292,0.92168,1.55001,0.005314,0.005314,0.005314
73,9093.8,1.05516,1.03288,1.48561,0.80069,0.7656,0.83236,0.58554,1.11352,0.91828,1.54856,0.005248,0.005248,0.005248
74,9217.51,1.05723,1.03162,1.49087,0.80505,0.76359,0.83186,0.58638,1.11365,0.91299,1.54385,0.005182,0.005182,0.005182
75,9341.27,1.04673,1.01446,1.4789,0.81072,0.76491,0.83662,0.58866,1.11478,0.91446,1.54272,0.005116,0.005116,0.005116
76,9464.84,1.03969,1.01342,1.47586,0.80051,0.76289,0.83522,0.58875,1.11409,0.92074,1.54062,0.00505,0.00505,0.00505
77,9588.39,1.04571,1.00862,1.47702,0.80417,0.76922,0.83658,0.58796,1.11274,0.92616,1.53932,0.004984,0.004984,0.004984
78,9714.99,1.04682,0.99825,1.47805,0.82379,0.75435,0.83739,0.59333,1.11222,0.92266,1.53783,0.004918,0.004918,0.004918
79,9839.77,1.03022,0.98095,1.46325,0.81487,0.75518,0.83682,0.5915,1.11006,0.92072,1.53622,0.004852,0.004852,0.004852
80,9961.28,1.03002,0.99097,1.46238,0.8002,0.7699,0.83829,0.5925,1.10877,0.92226,1.53434,0.004786,0.004786,0.004786
